context,answer,input
EBURY PRESS AND BLUE SALT KHAKI FILES Neeraj Kumar is one of the most distinguished officers to have served in the Indian Police. He joined the IPS in 1976 and retired as the commissioner of,Who is Neeraj Kumar and what is his background in the Indian Police force? When did he join the IPS and when did he retire?,###Human:\nWho is Neeraj Kumar and what is his background in the Indian Police force? When did he join the IPS and when did he retire?\n\n###Assistant:\nEBURY PRESS AND BLUE SALT KHAKI FILES Neeraj Kumar is one of the most distinguished officers to have served in the Indian Police. He joined the IPS in 1976 and retired as the commissioner of
"police, Delhi, in 2013. While on deputation with the Central Bureau of Investigation (CBI), first as deputy inspector general and then as joint director, he investigated",What was the role of the police officer from Delhi in 2013? Where was he on deputation and what positions did he hold while with the Central Bureau of Investigation (CBI)? What did he investigate during his time with the CBI?,"###Human:\nWhat was the role of the police officer from Delhi in 2013? Where was he on deputation and what positions did he hold while with the Central Bureau of Investigation (CBI)? What did he investigate during his time with the CBI?\n\n###Assistant:\npolice, Delhi, in 2013. While on deputation with the Central Bureau of Investigation (CBI), first as deputy inspector general and then as joint director, he investigated"
"several sensational cases and conducted a number of transnational operations involving terrorism, organized crime, economic offences and","What types of cases has the paragraph's subject been involved in, and what kinds of operations have they conducted?","###Human:\nWhat types of cases has the paragraph's subject been involved in, and what kinds of operations have they conducted?\n\n###Assistant:\nseveral sensational cases and conducted a number of transnational operations involving terrorism, organized crime, economic offences and"
"corruption. He was later appointed as the joint commissioner of police, Special Cell of the Delhi Police—mainly responsible for tackling Pakistan-","Who was appointed as the joint commissioner of police for the Special Cell of the Delhi Police, which is mainly responsible for tackling Pakistan-related corruption?","###Human:\nWho was appointed as the joint commissioner of police for the Special Cell of the Delhi Police, which is mainly responsible for tackling Pakistan-related corruption?\n\n###Assistant:\ncorruption. He was later appointed as the joint commissioner of police, Special Cell of the Delhi Police—mainly responsible for tackling Pakistan-"
"sponsored terrorism—and the director general of prisons, Delhi. In an illustrious career spanning thirty-seven years, Kumar held a range",Who is the director general of prisons in Delhi and how long has he held this position?,"###Human:\nWho is the director general of prisons in Delhi and how long has he held this position?\n\n###Assistant:\nsponsored terrorism—and the director general of prisons, Delhi. In an illustrious career spanning thirty-seven years, Kumar held a range"
"of high-profile assignments and ushered in novel initiatives, such as Padho aur Padhao, a literacy and placement scheme for prisoners; Aapka Update, a","What are some of the novel initiatives introduced by the high-profile assignments, such as Padho aur Padhao, a literacy and placement scheme for prisoners, and Aapka Update?","###Human:\nWhat are some of the novel initiatives introduced by the high-profile assignments, such as Padho aur Padhao, a literacy and placement scheme for prisoners, and Aapka Update?\n\n###Assistant:\nof high-profile assignments and ushered in novel initiatives, such as Padho aur Padhao, a literacy and placement scheme for prisoners; Aapka Update, a"
"scheme for providing regular updates to complainants on police action; and Jan Sampark, a platform for members of the public to meet senior police officers and air their grievances.","What are the two initiatives mentioned in the paragraph for improving communication between the police and the public? What is the purpose of the first initiative, and how does it aim to achieve this goal? What is the purpose of the second initiative, and how does it facilitate communication between members of the public and senior police officers?","###Human:\nWhat are the two initiatives mentioned in the paragraph for improving communication between the police and the public? What is the purpose of the first initiative, and how does it aim to achieve this goal? What is the purpose of the second initiative, and how does it facilitate communication between members of the public and senior police officers?\n\n###Assistant:\nscheme for providing regular updates to complainants on police action; and Jan Sampark, a platform for members of the public to meet senior police officers and air their grievances."
Kumar represented India at the UN Convention on Transnational Organized Crime in Vienna and later at the drafting session of the UN,"What event did Kumar represent India at in Vienna?
Where did Kumar later participate in a drafting session?","###Human:\nWhat event did Kumar represent India at in Vienna?
Where did Kumar later participate in a drafting session?\n\n###Assistant:\nKumar represented India at the UN Convention on Transnational Organized Crime in Vienna and later at the drafting session of the UN"
Manual on Countering Kidnapping and Extortion. The Government of India recognized his good work by awarding him the Police Medal for Meritorious Service in 1993 and the President’s Police Medal for,"What did the Government of India do to recognize the individual's good work in countering kidnapping and extortion, and in what years were these awards given?","###Human:\nWhat did the Government of India do to recognize the individual's good work in countering kidnapping and extortion, and in what years were these awards given?\n\n###Assistant:\nManual on Countering Kidnapping and Extortion. The Government of India recognized his good work by awarding him the Police Medal for Meritorious Service in 1993 and the President’s Police Medal for"
"Distinguished Service in 1999. Kumar, till recently, headed the Anti- corruption and Security Unit of the Board of Control for Cricket in India (BCCI).",Who was awarded the Distinguished Service in 1999? What position did Kumar hold until recently? Which organization's Anti-corruption and Security Unit did Kumar head?,"###Human:\nWho was awarded the Distinguished Service in 1999? What position did Kumar hold until recently? Which organization's Anti-corruption and Security Unit did Kumar head?\n\n###Assistant:\nDistinguished Service in 1999. Kumar, till recently, headed the Anti- corruption and Security Unit of the Board of Control for Cricket in India (BCCI)."
"(BCCI). Khaki Files is his second book, whose stories are the subject of a web series under production.",What is the name of the author's second book and what is currently being done with the stories from this book?,"###Human:\nWhat is the name of the author's second book and what is currently being done with the stories from this book?\n\n###Assistant:\n(BCCI). Khaki Files is his second book, whose stories are the subject of a web series under production."
ALSO BY THE SAME AUTHOR Dial D for Don,"What other book by the same author is mentioned along with ""Dial D for Don""?","###Human:\nWhat other book by the same author is mentioned along with ""Dial D for Don""?\n\n###Assistant:\nALSO BY THE SAME AUTHOR Dial D for Don"
"Advance Praise for Khaki Files ‘Neeraj Kumar brings his varied experience as a top cop to give us the inside track to the dark world of crime. Highly readable, Khaki Files is a","What does Neeraj Kumar bring to the table in his book Khaki Files, and how does his background as a top cop contribute to the inside track he provides on the dark world of crime? Additionally, how would you describe the readability of Khaki Files according to the advance praise given?","###Human:\nWhat does Neeraj Kumar bring to the table in his book Khaki Files, and how does his background as a top cop contribute to the inside track he provides on the dark world of crime? Additionally, how would you describe the readability of Khaki Files according to the advance praise given?\n\n###Assistant:\nAdvance Praise for Khaki Files ‘Neeraj Kumar brings his varied experience as a top cop to give us the inside track to the dark world of crime. Highly readable, Khaki Files is a"
real page-turner’—Rajdeep Sardesai ‘Mr Neeraj Kumar’s gift as a storyteller lies in the fact that he tells it the way it is. Very rarely do we find a narrative that sits on the edge of such,What is Rajdeep Sardesai's opinion on Neeraj Kumar's storytelling style?,###Human:\nWhat is Rajdeep Sardesai's opinion on Neeraj Kumar's storytelling style?\n\n###Assistant:\nreal page-turner’—Rajdeep Sardesai ‘Mr Neeraj Kumar’s gift as a storyteller lies in the fact that he tells it the way it is. Very rarely do we find a narrative that sits on the edge of such
"believability and impossibility’—Neeraj Pandey ‘Neeraj Kumar has had an illustrious career as one of India’s most admired strategic policing minds. In any job that he has undertaken, he has left his",What is Neeraj Kumar known for in his career and what has he been described as by Neeraj Pandey?,"###Human:\nWhat is Neeraj Kumar known for in his career and what has he been described as by Neeraj Pandey?\n\n###Assistant:\nbelievability and impossibility’—Neeraj Pandey ‘Neeraj Kumar has had an illustrious career as one of India’s most admired strategic policing minds. In any job that he has undertaken, he has left his"
"mark because of his integrity, innovation and inspired leadership. His first book, Dial D for Don , laid bare the machinations of the Indian mafia’s","What qualities have led to Mark's success in his career, according to the paragraph? What was the title of Mark's first book and what topic did it explore?","###Human:\nWhat qualities have led to Mark's success in his career, according to the paragraph? What was the title of Mark's first book and what topic did it explore?\n\n###Assistant:\nmark because of his integrity, innovation and inspired leadership. His first book, Dial D for Don , laid bare the machinations of the Indian mafia’s"
"diabolical world and the Indian police’s marvellous job at restraining them. ‘In this new book, Khaki Files , he fascinates the reader with both the",What is the title of the new book that fascinates the reader with both the diabolical world and the Indian police’s marvellous job at restraining them?,"###Human:\nWhat is the title of the new book that fascinates the reader with both the diabolical world and the Indian police’s marvellous job at restraining them?\n\n###Assistant:\ndiabolical world and the Indian police’s marvellous job at restraining them. ‘In this new book, Khaki Files , he fascinates the reader with both the"
"repertoire and substance of the manner in which the police, under his leadership, could crack cases ranging from lottery fraud to terrorism. Khaki","What did the police, under his leadership, demonstrate in terms of their ability to solve cases, ranging from lottery fraud to terrorism?","###Human:\nWhat did the police, under his leadership, demonstrate in terms of their ability to solve cases, ranging from lottery fraud to terrorism?\n\n###Assistant:\nrepertoire and substance of the manner in which the police, under his leadership, could crack cases ranging from lottery fraud to terrorism. Khaki"
Files is not just a compendium of great tales told with riveting accuracy but is also a book that any chronicler of India’s criminality would benefit from,What is Files described as in the provided context and how would a chronicler of India's criminality benefit from it?,###Human:\nWhat is Files described as in the provided context and how would a chronicler of India's criminality benefit from it?\n\n###Assistant:\nFiles is not just a compendium of great tales told with riveting accuracy but is also a book that any chronicler of India’s criminality would benefit from
reading. The evocative power of the chosen stories and the manner in which he weaves the tales with deftness and suspense make for brilliant scholarship and reading’—Suhel Seth,What is the opinion of Suhel Seth regarding the chosen stories and the way they are woven together in the scholarship being discussed?,###Human:\nWhat is the opinion of Suhel Seth regarding the chosen stories and the way they are woven together in the scholarship being discussed?\n\n###Assistant:\nreading. The evocative power of the chosen stories and the manner in which he weaves the tales with deftness and suspense make for brilliant scholarship and reading’—Suhel Seth
